10/1/2014 22:19:24 -- PID=10532 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\zero_packet_loss_frequency-100-by-node-2014-11-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\zero_packet_loss_frequency-100-by-node-2014-11-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10552 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-11-13.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-11-13.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10744 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\zero_packet_loss_frequency-100-by-node-2014-11-15.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\zero_packet_loss_frequency-100-by-node-2014-11-15.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10980 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\MOS-100-by-node-2014-11-16.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\MOS-100-by-node-2014-11-16.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10532 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_rtt-100-by-node-2014-11-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_rtt-100-by-node-2014-11-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=11076 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\MOS-100-by-node-2014-11-17.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\MOS-100-by-node-2014-11-17.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10744 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_rtt-100-by-node-2014-11-15.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_rtt-100-by-node-2014-11-15.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10980 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-11-16.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-11-16.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10552 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\conditional_loss_probability-100-by-node-2014-11-13.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\conditional_loss_probability-100-by-node-2014-11-13.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10604 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_rtt-100-by-node-2014-11-14.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\minimum_rtt-100-by-node-2014-11-14.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=11076 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-11-17.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\alpha-100-by-node-2014-11-17.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10532 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\iqr-100-by-node-2014-11-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\iqr-100-by-node-2014-11-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=8464 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\throughput-100-by-node-2014-11-19.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\throughput-100-by-node-2014-11-19.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10980 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\conditional_loss_probability-100-by-node-2014-11-16.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\conditional_loss_probability-100-by-node-2014-11-16.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10604 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\iqr-100-by-node-2014-11-14.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\iqr-100-by-node-2014-11-14.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=8464 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\packet_loss-100-by-node-2014-11-19.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\packet_loss-100-by-node-2014-11-19.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=11076 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\conditional_loss_probability-100-by-node-2014-11-17.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\conditional_loss_probability-100-by-node-2014-11-17.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10552 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\duplicate_packets-100-by-node-2014-11-13.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\duplicate_packets-100-by-node-2014-11-13.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
10/1/2014 22:19:24 -- PID=10532 -- FILE NOT FOUND! -- Could not read the file C:\Users\Renan\Documents\PingERWholeData\_inputdir\maximum_rtt-100-by-node-2014-11-12.txt.gz -- java.io.FileNotFoundException: C:\Users\Renan\Documents\PingERWholeData\_inputdir\maximum_rtt-100-by-node-2014-11-12.txt.gz (O sistema não pode encontrar o arquivo especificado) [java.io.FileInputStream.open(Native Method), java.io.FileInputStream.<init>(Unknown Source), edu.stanford.slac.pinger.general.utils.Utils.readGZipFile(Utils.java:59), edu.stanford.slac.pinger.general.utils.Utils.readGZipFileAndSaveFileSize(Utils.java:89), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.process(AllMetricsPerDayCSVBuilder.java:131), edu.stanford.slac.pinger.etl.valueRetriever.AllMetricsPerDayCSVBuilder.run(AllMetricsPerDayCSVBuilder.java:53), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.start(AllMetricsPerDayMapper.java:51), edu.stanford.slac.pinger.main.AllMetricsPerDayMapper.main(AllMetricsPerDayMapper.java:26)] 
